Ref,Val,Package,PosX,PosY,Rot,Side
"C82","100nF","C_0402_1005Metric",11.800000,-76.000000,90.000000,bottom
"C83","100nF","C_0402_1005Metric",11.800000,-79.500000,90.000000,bottom
"C84","100nF","C_0402_1005Metric",11.800000,-83.000000,90.000000,bottom
"C85","100nF","C_0402_1005Metric",11.800000,-86.500000,90.000000,bottom
"C86","100nF","C_0402_1005Metric",11.800000,-90.000000,90.000000,bottom
"C87","100nF","C_0402_1005Metric",11.800000,-93.500000,90.000000,bottom
"C88","100nF","C_0402_1005Metric",11.800000,-97.000000,90.000000,bottom
"C89","100nF","C_0402_1005Metric",11.800000,-100.500000,90.000000,bottom
"C90","100nF","C_0402_1005Metric",11.800000,-104.000000,90.000000,bottom
"C91","100nF","C_0402_1005Metric",11.800000,-107.500000,90.000000,bottom
"C92","100nF","C_0402_1005Metric",11.800000,-139.000000,90.000000,bottom
"C93","100nF","C_0402_1005Metric",11.800000,-142.500000,90.000000,bottom
"C94","100nF","C_0402_1005Metric",11.800000,-146.000000,90.000000,bottom
"C95","100nF","C_0402_1005Metric",11.800000,-149.500000,90.000000,bottom
"C96","100nF","C_0402_1005Metric",11.800000,-153.000000,90.000000,bottom
"C97","10uF","C_0805_2012Metric",263.475758,-314.200000,180.000000,bottom
"C98","10uF","C_0805_2012Metric",267.075758,-312.100000,180.000000,bottom
"C99","10uF","C_0805_2012Metric",139.250079,-314.200000,180.000000,bottom
"C100","10uF","C_0805_2012Metric",142.850079,-312.100000,180.000000,bottom
"D56","1N4148WS","D_SOD-323",117.609940,-9.900000,180.000000,bottom
"D57","1N4148WS","D_SOD-323",117.609940,-12.000000,180.000000,bottom
"D58","1N4148WS","D_SOD-323",46.492798,-9.900000,180.000000,bottom
"D59","1N4148WS","D_SOD-323",46.492798,-12.000000,180.000000,bottom
"D60","1N4148WS","D_SOD-323",22.276329,-9.900000,180.000000,bottom
"D61","1N4148WS","D_SOD-323",22.276329,-12.000000,180.000000,bottom
"D62","1N4148WS","D_SOD-323",86.467119,-9.900000,180.000000,bottom
"D63","1N4148WS","D_SOD-323",86.467119,-12.000000,180.000000,bottom
"D64","1N4148WS","D_SOD-323",191.663866,-9.900000,180.000000,bottom
"D65","1N4148WS","D_SOD-323",191.663866,-12.000000,180.000000,bottom
